domain_pod,Domain of Street Name Post Directional
North,North
Northeast,Northeast
East,East
Southeast,Southeast
South,South
Southwest,Southwest
West,West
Northwest,Northwest
NORTH,North
NORTHEAST,Northeast
EAST,East
SOUTHEAST,Southeast
SOUTH,South
SOUTHWEST,Southwest
WEST,West
NORTHWEST,Northwest
